ts,open,high,low,close,volume,volume_ccy,quote_asset_volume,confirm,close_time,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-09-14 00:00:00+00:00,0.24807,0.24834,0.23651,0.24058,847547.1,84754710,20506282.1199,1,1757894399999,,,,
2025-09-15 00:00:00+00:00,0.24059,0.24323,0.22989,0.23692,1126303.3,112630330,26556299.4332,1,1757980799999,,,,
2025-09-16 00:00:00+00:00,0.23691,0.23981,0.23144,0.23795,1022602.3,102260230,24161903.1506,1,1758067199999,,,,
2025-09-17 00:00:00+00:00,0.23795,0.24547,0.23249,0.24298,1814823.4,181482340,43056250.3696,1,1758153599999,,,,
2025-09-18 00:00:00+00:00,0.24299,0.25225,0.24152,0.24622,1578068.7,157806870,38967002.2729,1,1758239999999,,,,
2025-09-19 00:00:00+00:00,0.24622,0.25023,0.23587,0.23868,1061626.3,106162630,25670542.4528,1,1758326399999,,,,
2025-09-20 00:00:00+00:00,0.23867,0.24684,0.23777,0.24181,754002.2,75400220,18279722.3842,1,1758412799999,,,,
2025-09-21 00:00:00+00:00,0.24178,0.24289,0.23316,0.23387,595026.5,59502650,14156377.1802,1,1758499199999,,,,
2025-09-22 00:00:00+00:00,0.23385,0.23466,0.20917,0.22202,2475447.6,247544760,54434058.0346,1,1758585599999,,,,
2025-09-23 00:00:00+00:00,0.22202,0.22514,0.2181,0.2189,1061236.1,106123610,23516463.7122,1,1758671999999,,,,
2025-09-24 00:00:00+00:00,0.21889,0.22613,0.21615,0.22105,1080360.6,108036060,23991316.7243,1,1758758399999,,,,
2025-09-25 00:00:00+00:00,0.22107,0.22182,0.20514,0.20732,2468938.5,246893850,52541297.6287,1,1758844799999,,,,
2025-09-26 00:00:00+00:00,0.20739,0.21618,0.20489,0.21428,1806156.0,180615600,37869731.7527,1,1758931199999,,,,
2025-09-27 00:00:00+00:00,0.21428,0.21517,0.21125,0.21257,686294.4,68629440,14621294.7004,1,1759017599999,,,,
2025-09-28 00:00:00+00:00,0.21258,0.21685,0.20725,0.21593,788611.7,78861170,16681316.5828,1,1759103999999,,,,
2025-09-29 00:00:00+00:00,0.21595,0.21991,0.2119,0.21663,912690.8,91269080,19692485.8404,1,1759190399999,,,,
2025-09-30 00:00:00+00:00,0.21666,0.21773,0.2089,0.21494,1147368.0,114736800,24513657.8414,1,1759276799999,,,,
